transmitted;node name;timestamp;message id;transmission success
transmitted;m3-59;1610709646168.982;153376;19
transmitted;m3-59;1610709690779.326;157837;14
transmitted;m3-59;1610709730231.308;161782;16
transmitted;m3-59;1610709757239.747;164483;12
transmitted;m3-59;1610709782689.348;167028;14
transmitted;m3-59;1610709808440.376;169603;14
transmitted;m3-59;1610709843410.5352;173100;17
transmitted;m3-59;1610709871630.878;175922;15
transmitted;m3-59;1610709884070.959;177166;18
transmitted;m3-58;1610708158733.0552;4634;22
transmitted;m3-58;1610708194923.553;8253;23
transmitted;m3-58;1610708222783.8071;11039;23
transmitted;m3-58;1610708235673.6008;12328;20
transmitted;m3-58;1610708285035.344;17264;15
transmitted;m3-58;1610708319723.9731;20733;20
transmitted;m3-58;1610708326893.597;21450;23
transmitted;m3-58;1610708354483.794;24209;22
transmitted;m3-58;1610708401855.9238;28946;25
transmitted;m3-58;1610708426956.341;31456;27
transmitted;m3-58;1610708469646.369;35725;22
transmitted;m3-58;1610708476874.9958;36448;22
transmitted;m3-58;1610708507424.584;39503;25
transmitted;m3-58;1610708560274.263;44788;21
transmitted;m3-58;1610708569314.61;45692;19
transmitted;m3-58;1610708610586.65;49819;25
transmitted;m3-58;1610708624326.601;51193;21
transmitted;m3-58;1610708681464.896;56907;20
transmitted;m3-58;1610708707426.07;59503;24
transmitted;m3-58;1610708714175.67;60178;20
transmitted;m3-58;1610708762317.252;64992;20
transmitted;m3-58;1610708777527.4119;66513;17
transmitted;m3-58;1610708831507.626;71911;20
transmitted;m3-58;1610708833667.6099;72127;12
transmitted;m3-58;1610708870595.705;75820;23
transmitted;m3-58;1610708894125.722;78173;18
transmitted;m3-58;1610708926335.816;81394;20
transmitted;m3-58;1610708953995.968;84160;20
transmitted;m3-58;1610708992456.754;88006;18
transmitted;m3-58;1610709038096.78;92570;22
transmitted;m3-58;1610709070926.954;95853;22
transmitted;m3-58;1610709091138.136;97874;20
transmitted;m3-58;1610709117926.981;100553;25
transmitted;m3-58;1610709141976.7302;102958;19
transmitted;m3-58;1610709163016.368;105062;20
transmitted;m3-58;1610709216198.4739;110380;21
transmitted;m3-58;1610709252337.3699;113994;20
transmitted;m3-58;1610709277367.172;116497;26
transmitted;m3-58;1610709310578.0051;119818;19
transmitted;m3-58;1610709328447.0352;121605;19
transmitted;m3-58;1610709359387.381;124699;23
transmitted;m3-58;1610709383599.025;127120;19
transmitted;m3-58;1610709406867.778;129447;37
transmitted;m3-58;1610709436917.5679;132452;23
transmitted;m3-58;1610709468537.583;135614;20
transmitted;m3-58;1610709519379.7458;140698;21
transmitted;m3-58;1610709547247.8892;143485;21
transmitted;m3-58;1610709573358.2139;146096;19
transmitted;m3-58;1610709612208.604;149981;21
transmitted;m3-58;1610709632319.4858;151992;21
transmitted;m3-58;1610709649518.572;153712;17
transmitted;m3-58;1610709694168.927;158177;23
transmitted;m3-58;1610709704020.457;159162;21
transmitted;m3-58;1610709747679.338;163528;17
transmitted;m3-58;1610709775439.6008;166304;20
transmitted;m3-58;1610709817400.5361;170500;24
transmitted;m3-58;1610709847939.162;173554;22
transmitted;m3-58;1610709869401.471;175700;19
transmitted;m3-58;1610709905500.078;179310;23
transmitted;m3-67;1610708169644.348;5725;13
transmitted;m3-67;1610708190516.4631;7812;20
transmitted;m3-67;1610708202426.036;9003;13
transmitted;m3-67;1610708246374.428;13398;14
transmitted;m3-67;1610708275504.26;16311;16
transmitted;m3-67;1610708318266.0771;20587;19
transmitted;m3-67;1610708335395.8682;22300;15
transmitted;m3-67;1610708358956.6172;24656;13
transmitted;m3-67;1610708408334.358;29594;35
transmitted;m3-67;1610708422435.531;31004;16
transmitted;m3-67;1610708460226.8381;34783;15
transmitted;m3-67;1610708500475.569;38808;18
transmitted;m3-67;1610708522535.424;41014;20
transmitted;m3-67;1610708540276.7798;42788;23
transmitted;m3-67;1610708568946.859;45655;9
transmitted;m3-67;1610708598856.725;48646;16
transmitted;m3-67;1610708639005.427;52661;21
transmitted;m3-67;1610708663795.488;55140;21
transmitted;m3-67;1610708693175.11;58078;12
transmitted;m3-67;1610708718137.737;60574;22
transmitted;m3-67;1610708745366.24;63297;15
transmitted;m3-67;1610708794206.332;68181;19
transmitted;m3-67;1610708817278.307;70488;13
transmitted;m3-67;1610708862028.017;74963;14
transmitted;m3-67;1610708886278.262;77388;19
transmitted;m3-67;1610708918136.494;80574;15
transmitted;m3-67;1610708931696.395;81930;12
transmitted;m3-67;1610708970197.8608;85780;18
transmitted;m3-67;1610709010426.476;89803;16
transmitted;m3-67;1610709013256.624;90086;13
transmitted;m3-67;1610709064116.905;95172;4
transmitted;m3-67;1610709075398.0059;96300;19
transmitted;m3-67;1610709113827.291;100143;21
transmitted;m3-67;1610709155047.604;104265;17
transmitted;m3-67;1610709163478.3289;105108;16
transmitted;m3-67;1610709200548.7822;108815;17
transmitted;m3-67;1610709224907.4868;111251;15
transmitted;m3-67;1610709275569.171;116317;16
transmitted;m3-67;1610709302818.001;119042;19
transmitted;m3-67;1610709314498.012;120210;19
transmitted;m3-67;1610709343327.641;123093;22
transmitted;m3-67;1610709388098.167;127570;20
transmitted;m3-67;1610709405699.6602;129330;15
transmitted;m3-67;1610709442968.1758;133057;19
transmitted;m3-67;1610709463847.954;135145;14
transmitted;m3-67;1610709518340.021;140594;14
transmitted;m3-67;1610709531410.1328;141901;15
transmitted;m3-67;1610709565208.267;145281;14
transmitted;m3-67;1610709586657.9011;147426;33
transmitted;m3-67;1610709612928.8098;150053;17
transmitted;m3-67;1610709659218.195;154682;20
transmitted;m3-67;1610709673608.4731;156121;18
transmitted;m3-67;1610709704750.4622;159235;10
transmitted;m3-67;1610709734008.641;162161;17
transmitted;m3-67;1610709777438.6748;166504;16
transmitted;m3-67;1610709803039.244;169064;19
transmitted;m3-67;1610709840279.756;172788;16
transmitted;m3-67;1610709852399.547;174000;15
transmitted;m3-67;1610709890020.8271;177762;15
transmitted;m3-65;1610708164124.269;5173;17
transmitted;m3-65;1610708174634.6719;6224;23
transmitted;m3-65;1610708224765.682;11237;16
transmitted;m3-65;1610708233224.217;12083;17
transmitted;m3-65;1610708266344.906;15395;12
transmitted;m3-65;1610708311735.432;19934;26
transmitted;m3-65;1610708336125.1409;22373;20
transmitted;m3-65;1610708376145.186;26375;10
transmitted;m3-65;1610708405336.6758;29294;19
transmitted;m3-65;1610708422866.123;31047;16
transmitted;m3-65;1610708443476.356;33108;14
transmitted;m3-65;1610708498447.0261;38605;15
transmitted;m3-65;1610708505675.601;39328;13
transmitted;m3-65;1610708540485.803;42809;15
transmitted;m3-65;1610708570027.113;45763;17
transmitted;m3-65;1610708598687.1409;48629;10
transmitted;m3-65;1610708631286.0068;51889;17
transmitted;m3-65;1610708663676.2432;55128;14
transmitted;m3-65;1610708692985.956;58059;20
transmitted;m3-65;1610708730076.736;61768;13
transmitted;m3-65;1610708771446.353;65905;14
transmitted;m3-65;1610708782256.694;66986;15
transmitted;m3-65;1610708829867.886;71747;11
transmitted;m3-65;1610708855517.125;74312;19
transmitted;m3-65;1610708870577.029;75818;13
transmitted;m3-65;1610708893207.665;78081;15
transmitted;m3-65;1610708946197.594;83380;17
transmitted;m3-65;1610708977158.9438;86476;20
transmitted;m3-65;1610709005648.082;89325;12
transmitted;m3-65;1610709023159.38;91076;17
transmitted;m3-65;1610709046439.111;93404;21
transmitted;m3-65;1610709084158.002;97176;16
transmitted;m3-65;1610709118519.609;100612;17
transmitted;m3-65;1610709133999.9138;102160;10
transmitted;m3-65;1610709181258.2122;106886;13
transmitted;m3-65;1610709201398.236;108900;16
transmitted;m3-65;1610709241568.805;112917;10
transmitted;m3-65;1610709262329.9812;114993;16
transmitted;m3-65;1610709311888.671;119949;21
transmitted;m3-65;1610709326858.683;121446;16
transmitted;m3-65;1610709342819.753;123042;16
transmitted;m3-65;1610709394379.656;128198;13
transmitted;m3-65;1610709426310.655;131391;19
transmitted;m3-65;1610709453789.7898;134139;14
transmitted;m3-65;1610709464090.465;135169;16
transmitted;m3-65;1610709520179.856;140778;15
transmitted;m3-65;1610709544261.579;143186;20
transmitted;m3-65;1610709564740.163;145234;15
transmitted;m3-65;1610709583100.092;147070;15
